2021년,서울 종로,서울 중구,서울 용산,서울 성동,서울 광진,서울 동대문,서울 중랑,서울 성북,서울 강북,서울 도봉,서울 노원,서울 은평,서울 서대문,서울 마포,서울 양천,서울 강서,서울 구로,서울 금천,서울 영등포,서울 동작,서울 관악,서울 서초,서울 강남,서울 송파,서울 강동,부산 중구,부산 서구,부산 동구,부산 영도,부산 부산진,부산 동래,부산 남구,부산 북구,부산 해운대,부산 사하,부산 금정,부산 강서,부산 연제,부산 수영,부산 사상,부산 기장군,대구 중구,대구 동구,대구 서구,대구 남구,대구 북구,대구 수성,대구 달서,대구 달성군,인천 중구,인천 동구,인천 서구,인천 미추홀,인천 연수,인천 남동,인천 부평,인천 계양,인천 강화군,인천 옹진군,광주 동구,광주 서구,광주 남구,광주 북구,광주 광산,대전 중구,대전 동구,대전 서구,대전 유성,대전 대덕,울산 중구,울산 동구,울산 남구,울산 북구,울산 울주군,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타 도시,도시이외
절도,1081,1301,959,907,1419,1246,1399,891,786,774,1356,1424,1024,1517,1350,1533,1393,1013,1717,1136,1857,1506,2384,2026,1610,583,417,503,307,2178,926,679,909,1233,909,775,361,713,686,954,565,1335,1333,765,648,1541,1150,1993,563,402,123,1504,1322,945,1277,1786,656,150,18,496,1104,635,1475,1203,893,900,1594,1103,573,618,486,1065,452,540,3034,4202,2697,2118,1467,2977,3391,938,2162,2644,1858,2091,2196,1067,1184,907,1059,1704,2727,887,842,1058,1988,911,2575,909,665,1290,732,636,415,910,1132,763,393,446,2244,1855,1093,1067,601,482,541,388,421,15466,8694
장물,7,1,1,0,3,0,1,1,0,1,1,1,0,2,1,1,2,2,1,1,2,1,6,1,1,4,1,5,2,5,8,2,4,13,3,8,4,4,6,2,3,1,0,0,1,1,1,3,0,0,0,4,5,1,4,4,3,0,0,1,2,1,0,2,0,2,2,0,1,4,0,1,0,1,5,8,8,2,0,9,6,2,1,8,2,3,7,2,3,0,0,0,5,2,1,8,5,0,2,2,0,0,0,0,1,1,2,0,0,0,4,2,2,2,1,0,0,0,1,27,11
사기,1539,1505,1080,1457,1954,1728,1493,1205,1185,1162,1909,1809,1226,1736,1445,2348,1908,1535,2416,1346,2839,3189,6435,3088,1800,659,818,1153,570,3311,1664,2269,1529,2798,1651,1639,1474,2503,618,1763,1324,1478,2428,1205,1085,2384,2300,3568,817,978,234,2694,2625,1803,2677,2326,1274,335,56,722,2081,867,2089,1877,1560,1959,3211,1642,747,1138,760,2181,861,1197,5761,6183,4494,3747,2416,5216,6273,1394,2524,4333,2067,5711,3412,2187,3010,1767,1870,2814,3700,1451,1602,2137,4571,1659,4043,1383,1146,3189,847,1287,793,1211,1363,1554,632,885,3899,3706,2332,2653,1582,874,835,526,633,39803,14267
횡령,532,554,403,394,514,562,445,321,248,266,500,425,367,680,422,547,633,328,702,449,590,756,1391,1061,406,106,81,155,68,670,290,225,187,368,236,170,149,234,181,199,164,308,440,149,228,355,304,435,122,279,92,566,707,421,659,639,278,47,11,180,376,173,415,418,347,218,375,182,124,102,128,293,94,131,1115,1277,949,446,688,656,721,362,258,732,163,1407,609,285,760,190,190,251,621,284,160,181,556,225,410,211,266,524,182,149,87,206,229,166,71,56,711,483,459,223,169,220,125,68,83,4988,1841
배임,33,58,26,28,26,26,8,15,10,10,14,19,23,52,21,40,28,31,58,22,12,106,223,54,17,7,6,10,6,29,18,25,12,50,15,14,13,22,13,14,19,11,11,12,13,18,35,30,8,15,3,34,31,32,26,19,23,11,0,12,18,24,27,17,17,9,32,50,7,12,7,293,13,28,33,70,70,40,23,39,74,12,17,53,24,72,45,31,20,18,10,18,57,16,11,24,58,14,41,12,10,33,13,9,16,11,19,24,11,7,101,34,24,14,10,12,13,6,7,544,331
손괴,345,308,284,244,318,329,403,295,242,225,521,375,278,397,362,426,431,259,536,329,565,367,635,534,386,120,130,113,117,561,255,213,246,391,310,194,78,210,198,264,116,208,365,246,257,467,335,531,178,168,52,534,500,285,503,698,274,94,26,133,286,204,489,370,252,257,532,323,198,209,179,369,147,180,1103,1510,691,585,592,992,1072,334,527,991,359,875,881,313,620,330,319,441,802,369,296,383,864,243,532,335,262,531,278,241,172,343,357,199,172,109,786,680,477,360,304,159,252,143,150,5894,3410
살인,5,6,3,4,5,3,4,4,4,2,6,5,3,7,1,9,5,7,7,3,8,6,13,3,4,3,1,2,4,2,2,4,5,4,4,5,2,3,1,4,1,3,5,1,2,2,7,4,2,5,0,5,7,4,16,4,3,1,1,3,4,1,2,1,4,6,6,2,1,3,1,6,3,2,10,16,13,8,5,7,11,1,7,12,6,13,15,3,2,5,3,7,11,9,0,3,13,3,4,4,1,7,4,1,1,3,6,7,3,3,8,4,9,3,1,2,1,3,0,84,59
강도,4,6,1,4,4,8,6,2,2,2,3,3,2,4,3,2,3,3,11,1,7,5,25,9,5,2,2,0,1,5,1,3,7,10,2,2,3,3,3,7,0,5,2,3,3,4,0,4,2,3,0,3,9,1,4,12,2,0,0,2,3,2,3,5,4,1,1,1,2,1,1,6,2,1,6,7,11,8,4,6,5,0,4,6,11,2,9,2,6,2,4,3,11,1,2,0,7,2,8,1,0,5,6,2,1,1,2,1,4,1,7,2,2,4,0,1,4,2,1,38,31
방화,3,10,7,10,6,11,8,9,6,5,3,4,8,9,5,11,4,7,11,2,15,6,12,9,4,2,3,3,3,8,2,3,1,6,10,3,0,1,1,6,0,1,5,3,6,14,12,10,4,5,2,9,12,6,6,6,6,2,0,3,4,4,7,2,4,12,17,4,3,6,6,8,3,4,6,28,22,10,8,18,24,3,9,18,5,9,11,8,12,3,6,5,13,3,3,8,18,4,10,5,4,12,3,2,2,5,5,3,3,3,12,10,19,8,4,0,7,2,5,104,110
성폭력,259,260,237,202,310,260,255,207,210,122,281,281,279,504,193,412,329,229,451,298,498,523,896,475,221,45,51,56,78,410,153,140,119,269,138,115,70,151,124,162,78,173,199,84,68,203,173,305,87,159,27,292,352,232,375,441,138,41,149,97,201,93,241,204,222,138,357,193,95,103,87,296,81,96,584,934,624,397,359,449,513,181,298,577,151,503,430,235,311,157,135,236,432,169,148,158,382,115,275,160,144,288,122,117,101,171,161,126,66,48,448,364,157,150,126,103,115,65,54,3107,1599
폭행,859,807,783,598,822,924,924,812,814,584,1050,895,587,934,909,1195,1128,764,1210,705,1291,1090,1780,1435,991,311,332,349,272,1340,529,417,514,738,578,372,234,598,476,541,351,492,799,590,474,963,745,1038,392,474,150,1311,1346,620,1502,1795,729,125,49,371,771,476,1138,934,724,534,1331,705,577,514,368,953,379,374,2385,2988,1943,1280,1281,1740,2110,795,871,2282,825,2241,1923,814,1592,784,705,518,1182,582,566,741,1690,452,1267,675,517,1172,486,430,334,573,591,534,257,196,1427,1451,932,759,692,379,324,260,138,12320,5925
상해,144,152,92,113,137,114,132,104,154,85,118,169,86,133,97,163,162,103,168,112,121,102,327,151,134,97,97,131,84,437,199,181,202,244,228,134,140,184,159,182,145,161,245,183,171,288,216,393,137,131,53,321,284,190,374,309,108,44,12,120,165,92,285,177,124,134,306,180,135,146,108,260,143,209,364,429,419,363,260,704,788,155,445,384,315,346,454,211,234,130,179,249,403,241,197,265,424,209,448,220,76,281,168,114,120,162,222,192,107,85,228,221,159,214,121,90,141,138,101,3675,2990
협박,79,103,104,119,139,144,165,120,126,94,168,155,115,166,144,255,164,132,215,108,213,179,271,227,140,29,51,56,36,206,103,82,80,166,98,62,90,110,80,109,51,54,157,94,65,154,137,184,74,78,20,292,177,118,213,247,124,33,4,49,127,48,140,110,123,94,220,116,83,75,66,149,56,68,405,540,380,205,232,275,344,163,125,402,192,451,426,129,198,83,102,127,251,166,113,169,351,76,200,129,75,226,63,63,51,85,154,107,63,40,311,353,178,137,108,90,77,44,37,2648,1355
공갈,30,19,20,24,16,39,33,32,37,32,30,35,31,38,30,39,34,29,38,53,28,69,98,89,45,4,14,17,14,41,23,28,19,47,24,25,19,36,15,17,24,6,29,24,14,20,36,40,17,31,16,92,79,90,73,67,55,9,3,15,18,14,50,27,25,19,58,45,19,15,12,18,9,15,126,159,65,65,48,91,124,28,47,90,34,76,73,23,84,32,22,73,74,37,37,29,54,19,80,23,18,49,14,34,19,28,43,20,21,6,81,76,42,44,13,8,22,4,15,736,286
약취와 유인,1,1,5,0,0,2,0,1,2,0,0,1,4,6,0,1,4,1,2,2,4,8,5,4,0,0,0,0,0,0,1,2,0,1,2,1,1,3,1,0,0,0,1,0,0,4,0,1,0,0,0,0,1,8,5,5,0,0,0,2,1,0,3,3,2,1,1,4,1,1,1,2,0,1,8,4,6,1,5,4,2,1,5,1,1,3,4,2,3,0,1,4,2,0,0,4,3,3,1,0,1,6,0,1,0,3,2,0,0,0,3,3,4,1,1,0,2,3,0,30,9
체포와 감금,7,9,10,0,10,10,7,15,6,6,6,2,8,15,10,16,10,17,8,7,17,14,35,13,15,2,0,4,2,20,4,4,3,14,6,5,4,5,7,2,4,4,12,3,3,9,4,14,6,6,2,12,26,7,22,21,10,3,0,5,18,5,25,12,6,5,12,12,4,1,5,19,4,4,24,33,18,22,10,27,19,5,15,28,12,30,14,8,11,11,12,11,19,5,11,11,19,5,15,9,2,17,5,4,2,5,11,6,0,3,14,6,15,11,0,7,7,4,1,132,85
폭력행위등(손괴·강요·주거침입등),8,12,8,6,11,2,6,14,4,3,6,18,2,8,7,13,8,4,12,10,7,7,19,11,4,2,1,2,3,9,12,9,2,8,9,5,0,6,1,1,3,5,9,2,5,3,3,14,3,9,1,19,11,4,15,13,8,1,1,4,8,7,12,6,9,3,10,4,0,11,7,9,3,6,25,29,19,13,10,34,27,8,18,24,5,17,17,7,5,11,10,10,15,13,4,8,11,4,7,9,2,18,5,3,3,5,12,6,11,3,27,6,10,12,14,7,1,0,1,123,72
폭력행위등(단체등의구성·활동),0,0,3,0,0,1,1,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,1,0,0,2,0,0,1,1,0,0,0,2,0,1,3,0,0,0,0,1,0,0,0,1,0,2,0,0,7,2,22,0,0,2,3,0,0,0,1,0,1,5,3,1,0,0,0,4,1,1,0,2,2,0,3,0,1,0,0,0,0,0,1,2,0,5,1,0,1,0,19,9
위조(통화),8,14,4,1,8,8,6,1,0,0,2,5,1,3,4,3,4,3,7,7,1,5,20,7,5,2,0,0,0,3,0,3,1,2,2,1,2,2,1,2,1,1,3,0,0,4,1,0,0,3,0,1,3,0,2,3,3,1,0,1,2,1,2,1,1,3,3,0,0,0,0,3,0,0,10,7,6,2,4,4,2,0,7,4,4,6,2,3,6,2,0,1,10,2,6,4,4,6,1,1,1,6,0,13,5,0,6,0,0,0,4,3,0,4,1,3,0,0,0,23,15
"위조(유가증권,인지,우표)",1,3,0,1,2,1,3,2,0,0,0,1,3,1,0,1,0,0,6,0,1,4,6,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,7,6
위조(문서),99,97,60,63,72,70,52,50,70,53,77,81,41,128,74,109,87,57,102,54,87,271,282,184,74,42,35,37,33,114,75,46,37,130,75,45,50,85,27,50,45,61,57,36,32,64,156,100,39,34,11,94,101,55,77,92,35,25,3,80,77,38,89,60,43,27,111,59,38,30,23,247,19,36,174,228,175,138,85,207,246,42,98,166,74,229,170,93,108,78,152,98,117,58,78,63,144,66,140,51,25,108,34,33,29,47,53,61,28,29,151,121,112,77,31,26,47,18,43,1794,908
위조(인장),5,3,1,5,0,3,3,4,3,2,5,0,5,6,0,1,1,0,3,1,2,13,5,2,0,1,1,2,0,1,2,0,3,3,6,0,1,3,2,3,1,0,4,1,3,5,5,2,5,6,1,4,6,7,4,3,3,1,0,1,5,1,5,6,2,1,3,2,2,3,2,2,3,3,6,11,3,2,2,5,14,1,1,7,0,9,1,6,3,1,47,5,2,6,2,0,7,0,12,2,2,4,0,3,0,2,6,6,4,0,7,4,3,4,2,3,3,1,3,70,147
직무유기,13,23,6,6,3,6,5,8,7,7,5,9,6,10,12,15,11,7,17,10,13,42,10,17,6,3,3,7,4,26,5,9,4,16,11,10,11,25,4,8,5,3,6,4,4,2,14,5,2,9,0,7,20,5,17,10,4,8,2,10,9,2,15,8,7,7,15,4,2,10,1,14,2,3,16,18,12,18,10,27,38,2,17,11,17,11,8,16,7,5,10,11,7,19,6,9,3,5,9,13,0,7,3,6,7,3,5,3,9,4,6,7,2,9,2,4,7,2,6,209,141
직권남용,29,28,14,6,1,11,4,11,4,2,4,8,10,30,12,9,7,4,16,15,25,41,19,30,4,7,5,6,6,29,19,9,2,16,6,7,7,26,1,10,2,2,0,1,0,11,27,8,0,8,0,2,30,6,14,8,12,3,0,24,8,3,17,5,1,2,26,9,3,11,1,12,0,7,18,30,21,28,21,31,33,2,16,21,12,9,12,14,10,7,10,9,9,16,11,8,12,4,5,21,4,8,13,5,1,2,6,1,10,8,2,10,3,13,6,2,2,1,8,202,128
수뢰,3,0,5,3,0,4,1,0,0,0,2,4,1,7,0,2,1,0,5,2,0,8,15,7,2,0,0,1,2,5,1,1,1,11,1,1,5,4,0,6,0,1,1,0,0,0,2,1,0,2,1,8,2,3,0,0,2,2,160,3,1,2,3,1,0,1,6,5,0,1,0,6,3,1,4,2,45,7,1,3,2,1,2,3,1,8,5,6,5,0,1,1,5,0,1,3,1,2,3,5,2,7,2,0,4,1,1,0,2,0,1,1,2,2,0,0,2,1,1,64,47
증뢰,1,3,4,1,1,3,0,0,0,0,0,0,1,0,0,0,2,0,8,0,1,1,3,0,0,0,0,0,0,2,2,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,1,0,3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,14,1,1,1,1,0,0,0,0,2,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,28,5
도박과 복표,48,18,30,14,41,33,61,16,17,17,18,20,73,76,19,24,16,19,37,32,41,19,129,21,26,7,7,10,6,24,12,14,7,34,16,107,12,99,4,117,1,5,19,30,15,19,54,22,11,15,4,54,31,16,77,41,20,2,1,6,26,12,19,39,19,28,66,17,10,21,2,163,3,9,65,1342,103,42,159,90,64,17,32,48,20,52,54,75,76,28,24,19,52,33,132,28,37,19,19,26,9,28,9,23,32,14,22,12,14,12,33,38,17,13,15,14,9,10,3,724,396
